length of rights,name,ltm,$ age,ask,bid,ask multiplier,bid multiplier
70,"Publishing Royalties from Machine Gun Kelly's ""Bloom""",23211,4.89,0,0,,
70,YoungBoy Never Broke Again — Publishing Royalties,8981,3.13,0,0,,
70,Publishing From R&B Single “Cookie”,712,5.08,0,0,,
70,Publishing Royalties: 19-Year-Old R&B Catalog,4271,13.59,0,0,,
70,NBA YoungBoy's “Valuable Pain” — Publishing Royalties,6352,3.09,0,0,,
70,Publishing Royalties: 16-Year-Old Hip-Hop,7068,17.49,0,0,,
70,Streaming-Driven Hip-Hop Collection,7145,5.31,0,"$32,981",,4.615955213
70,Anderson .Paak & 50 Cent — Songwriter Royalties,26522,10.8,0,0,,
70,"Contemporary Christian: Big Daddy Weave, Ellie Holcomb",5798,8.22,0,0,,
70,"Platinum EDM: Kygo - ""Firestone""",29390,7.25,0,0,,
70,20-Year-Old R&B and Hip-Hop,1164,23.84,0,"$9,031",,7.758591065
70,Grammy-Winning Band: Cage The Elephant,47397,11.21,0,0,,
70,"Drake's Multi-Platinum Hit ""Best I Ever Had""",5292,12.75,0,"$33,045",,6.244331066
70,"Streaming Royalties ft. Ab Soul, Kendrick Lamar, and J.I.D",1307,6.78,0,0,,
70,"Tracks from Machine Gun Kelly's ""Bloom""",8509,5,0,"$45,165",,5.307909273
70,"J. Cole - ""Wet Dreamz""",23903,7.5,0,0,,
70,Hip-Hop Royalties ft. Dave East and More,920,5.34,0,0,,
70,"Hip-Hop Publishing: Rich Homie Quan, Tyga, & More",20787,5.91,0,0,,
70,Underground Hip-Hop: Rome Fortune,2311,3.57,0,0,,
70,"Rita Ora's ""New Look"" & More - Songwriter Royalties",1902,2.62,0,0,,
70,"NBA YoungBoy - ""Freeddawg"" + More - Songwriter Royalties",7846,3.73,0,"$35,309",,4.500254907
70,Pop and R&B From Shakira & Jamie Foxx,3285,9.43,0,0,,
70,Platinum Hit by Rae Sremmurd and More,1665,5.83,0,0,,
70,"Royalties from British Dance Music Hit ""House Every Weekend""",9881,7.27,0,0,,
70,Publishing From Soulja Boy & Beyoncé,6293,10.4,0,0,,
70,Publishing Royalties: Luh Soldier & More,3863,3.52,0,0,,
70,"""Rise"" by Danny Gokey & More",1112,4.62,0,0,,
70,Consistent Mac Miller & Wiz Khalifa Royalties,10559,8.77,0,0,,
70,Eric Bellinger Songwriter Royalties,1357,6.9,0,"$8,098",,5.967575534
70,"""Your Love is Rated X"" - Johnnie Taylor + More - Publishing Royalties",2092,44.55,0,0,,
70,"Songwriter Royalties: Ray J's ""Sexy Can I""",4595,13.57,0,0,,
70,"""Beautiful Lady"" by Gyptian & More",680,16.77,0,0,,
70,"""Drip"" From Cardi B & Other Hip-Hop",13706,4.43,0,0,,
70,"Hip-Hop & R&B: Jacquees, Tory Lanez & More",15185,3.53,0,0,,
70,"Songwriter Royalites: ""Jump"" by Rihanna",809,9.36,0,0,,
70,Harry Styles Debut Album - Domestic (U.S.) Royalties Only,11033,4.58,0,"$49,649",,4.500045319
70,"Drake, Megan Thee Stallion, & Big Freedia",14330,3.52,0,"$50,154",,3.499930216
70,Youngboy and Yungeen Ace - Songwriter Royalties,1754,4.29,0,0,,
70,"A$AP MOB, Youngboy NBA, Kevin Gates + More",28282,6.53,0,0,,
70,"Production Music from ""Love Don't Cost A Thing"", ""The Game"", + more",1506,10.34,0,"$11,419",,7.582337317
70,Songwriter Royalties: Hit K-Pop Artists,4735,4.7,0,0,,
70,Songwriter Royalties: YoungBoy Never Broke Again,4232,3.71,0,0,,
70,"Jason Aldean's ""Ride All Night,"" Tyler Farr + More - Songwriter Royalties",4012,4.32,0,0,,
70,Hip-Hop Royalties featuring BlocBoy JB & Layton Greene,2457,2.95,0,0,,
70,Songwriter Royalties: YoungBoy Never Broke Again Hits,10571,3.36,0,0,,
70,Songwriter Royalties from Latin Metal Group iLL Niño,1701,20.1,0,0,,
70,"Contemporary Christian: Josh Wilson, Lauren Daigle, & More",8837,2.91,0,0,,
70,"Publishing Royalties: Ray J's ""Sexy Can I""",8786,14.78,0,0,,
70,"""She Got The Best Of Me"" by Luke Combs - Songwriter Royalties",62146,6,0,0,,
70,"Songwriter Royalties - Arlissa, Alan Walker, A$AP Rocky + More",9760,2.54,0,0,,
70,Songwriting Royalties from R&B Group - Public Announcement,2202,22.64,0,0,,
70,R&B Group - Public Announcement - Publishing Share of Performance Royalties,2165,22.66,0,0,,
70,Global Pop Catalog,5345,7.99,0,0,,
70,Drakeo The Ruler - Publishing Royalties,3251,4.18,0,0,,
70,"Beyoncé, Rita Ora, Kylie Minogue & More",6596,8.42,0,0,,
70,"NBA YoungBoy, Gunna, & Rich The Kid",3747,3.91,0,0,,
70,"G-Eazy's ""Down"" - Publishing Royalties",4336,1.57,0,0,,
70,"Songwriter Royalties - Chris Brown, Lotto, + More",1574,1.76,0,0,,
70,"Dance Music: DJ Cassidy, R. Kelly, Robin Thicke",4885,6.82,0,"$31,998",,6.550255885
70,"""2012"" by Chris Brown",516,9.5,0,0,,
70,Quando Rondo + OMB Peezy - Publishing Royalties,1413,1.38,0,0,,
70,"Travis Scott, 50 Cent, ILOVEMAKONNEN ft. Drake - Songwriter Royalties",90630,5.59,0,0,,
70,"Songwriter Royalties - Travis Scott, Meek Mill + more",5364,4.11,0,0,,
70,"Publishing: NBA YoungBoy's ""Carter Son""",2317,2.45,0,0,,
70,"Songwriter Royalties - NBA YoungBoy's ""Carter Son""",1444,2.45,0,0,,
70,Songwriter Royalties: Machine Gun Kelly,7973,5,0,0,,
70,Dance/Electronic Music Featuring Fiorious,1320,3.41,0,"$9,500",,7.196969697
